arCOG_name	locus_tag	E-value	score	arCOG_familiy	Gene_name	Description	HVO
arCOG00610	WP_004041457.1	1.5E-69	232	K	-	Predicted transcriptional regulator, contains C-terminal CBS domains	HVO_1577
arCOG00612	WP_013035138.1	1E-109	365	F	GuaB	IMP dehydrogenase/GMP reductase	HVO_A0584
arCOG00612	WP_004043665.1	1.8E-195	647.8	F	GuaB	IMP dehydrogenase/GMP reductase	HVO_1273
arCOG00614	WP_004041433.1	1.1E-31	107.9	R	SpoIVFB	Zn-dependent protease	HVO_1555
arCOG00615	WP_004044957.1	2.2E-91	304.4	C	NemA	NADH:flavin oxidoreductase, Old Yellow Enzyme family	HVO_0004
arCOG00615	WP_004043920.1	1.9E-118	393.4	C	NemA	NADH:flavin oxidoreductase, Old Yellow Enzyme family	HVO_1022
arCOG00617	WP_004043897.1	2.1E-109	362.8	E	HisF	Imidazoleglycerol-phosphate synthase	HVO_1044
arCOG00618	WP_004044888.1	5.1E-88	292.2	E	HisA	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase	HVO_2988
arCOG00622	WP_004041587.1	2.3E-89	296.9	D	Spo0J	Chromosome segregation protein Spo0J, contains CBS and ParB-like nuclease domains	HVO_1698
arCOG00622	WP_004043952.1	1.3E-122	406	D	Spo0J	Chromosome segregation protein Spo0J, contains CBS and ParB-like nuclease domains	HVO_0991
arCOG00624	WP_004045236.1	4.7E-36	122.4	P	MgtE2	Permease, similar to cation transporter	HVO_0124
arCOG00624	WP_004045237.1	8.6E-38	128.1	P	MgtE2	Permease, similar to cation transporter	HVO_0125
arCOG00626	WP_004042504.1	6E-94	312.8	R	TlyC	Hemolysins or related protein containing CBS domains	HVO_2521
arCOG00626	WP_013035472.1	4.8E-144	477.8	R	TlyC	Hemolysins or related protein containing CBS domains	HVO_0250
arCOG00626	WP_004043947.1	4.7E-97	323	R	TlyC	Hemolysins or related protein containing CBS domains	HVO_0996
arCOG00626	WP_004043387.1	5.4E-128	424.9	R	TlyC	Hemolysins or related protein containing CBS domains	HVO_A0049
arCOG00627	WP_004044906.1	6.5E-177	586.1	E	MET2	Homoserine acetyltransferase	HVO_2998
arCOG00636	WP_004040839.1	4.1E-77	257	O	HypE	Hydrogenase maturation factor	HVO_A0486
arCOG00636	WP_004042470.1	4.7E-111	368.6	O	HypE	Hydrogenase maturation factor	HVO_2502
arCOG00638	WP_004041743.1	5.7E-66	220.6	H	ThiL	Thiamine monophosphate kinase	HVO_1861
arCOG00639	WP_004041435.1	3.7E-107	356	F	PurM	Phosphoribosylaminoimidazole (AIR) synthetase	HVO_1557
arCOG00641	WP_004043893.1	9E-227	752.3	F	PurL	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	HVO_1048
arCOG00644	WP_049914819.1	0.017	11.9	H	CysG	Uroporphyrinogen-III methylase	HVO_2310
arCOG00644	WP_004045127.1	5.2E-85	282.2	H	CysG	Uroporphyrinogen-III methylase	HVO_0077
arCOG00645	WP_004041094.1	4.3E-114	377.8	H	CobM	Precorrin-4 methylase	HVO_B0060
arCOG00647	WP_004041096.1	1.1E-81	271.6	H	CobJ	Precorrin-3B methylase	HVO_B0058
arCOG00647	WP_004041097.1	6.9E-102	337.8	H	CobJ	Precorrin-3B methylase	HVO_B0057
arCOG00648	WP_004041093.1	1E-92	307.5	H	CobF	Precorrin-2 methylase	HVO_B0061
arCOG00650	WP_004041106.1	1.9E-73	244	H	CobL	Precorrin-6B methylase 1	HVO_B0048
arCOG00651	WP_004041095.1	5.2E-95	316	H	CbiG	Cobalamin biosynthesis protein CbiG	HVO_B0059
arCOG00656	WP_004042090.1	8E-129	427.1	H	CofG	FO synthase or thiamine biosynthesis enzyme ThiH	HVO_2198
arCOG00657	WP_004042093.1	9.1E-153	505.7	H	CofG	FO synthase or thiamine biosynthesis enzyme ThiH	HVO_2201
arCOG00658	WP_004041250.1	6.5E-121	401.2	E	PylB/HcgA	(2R,3R)-3-methylornithine synthase involved in pyrrolysine biosynthesis/Iron-guanylylpyridinol (FeGP) cofactor biosynthesis protein HcgA	HVO_B0289
arCOG00660	WP_013035485.1	5.3E-160	529.2	H	LipA	Lipoate synthase	HVO_2957
arCOG00664	WP_004041405.1	3E-98	325.8	M	AglF/RfbA	Glucose-1-phosphate uridyltransferase	HVO_1527
arCOG00666	WP_004040952.1	7.1E-73	243.6	M	GCD1	N-acetylglucosamine-1-phosphate uridyltransferase	HVO_A0595
arCOG00666	WP_004040943.1	1.6E-96	321.4	M	GCD1	N-acetylglucosamine-1-phosphate uridyltransferase	HVO_A0586
arCOG00666	WP_004043862.1	1.4E-57	193.4	M	GCD1	N-acetylglucosamine-1-phosphate uridyltransferase	HVO_1076
arCOG00667	WP_004041941.1	1.4E-144	479	M	RfbA	dTDP-glucose pyrophosphorylase	HVO_2057
arCOG00670	WP_004043642.1	2.9E-38	128.9	I	PgsA	Phosphatidylglycerophosphate synthase	HVO_1297
arCOG00671	WP_008605767.1	6.4E-64	213.3	I	PssA	Phosphatidylserine synthase	HVO_1143
arCOG00671	WP_004041850.1	7.8E-52	173.8	I	PssA	Phosphatidylserine synthase	HVO_1971
arCOG00671	WP_004045242.1	0.086	10.2	I	PssA	Phosphatidylserine synthase	HVO_0131
arCOG00672	WP_004043801.1	3.4E-67	224.4	I	PgsA	Phosphatidylglycerophosphate synthase	HVO_1136
arCOG00675	WP_004041780.1	2.3E-59	198.1	K	RPB7	DNA-directed RNA polymerase, subunit E'/Rpb7	HVO_1899
arCOG00682	WP_004041294.1	1.3E-180	598.5	X	-	Transposable element, IS605 OrfB family, contains RNAse H fold nuclease and Zn finger domains	HVO_B0241
arCOG00682	WP_004043421.1	3.7E-169	560.8	X	-	Transposable element, IS605 OrfB family, contains RNAse H fold nuclease and Zn finger domains	HVO_A0018
arCOG00682	WP_004043369.1	5E-31	105.9	X	-	Transposable element, IS605 OrfB family, contains RNAse H fold nuclease and Zn finger domains	HVO_A0066
arCOG00682	WP_004043314.1	1E-23	81.8	X	-	Transposable element, IS605 OrfB family, contains RNAse H fold nuclease and Zn finger domains	HVO_A0008
arCOG00683	WP_004041974.1	1.6E-10	38.3	X	-	Transposable element, IS605 OrfB family, contains RNAse H fold nuclease and Zn finger domains	HVO_2090A
arCOG00683	WP_004042327.1	2.5E-94	314	X	-	Transposable element, IS605 OrfB family, contains RNAse H fold nuclease and Zn finger domains	HVO_2434
arCOG00683	WP_004041959.1	2.5E-82	274.6	X	-	Transposable element, IS605 OrfB family, contains RNAse H fold nuclease and Zn finger domains	HVO_2075
arCOG00689	WP_004041699.1	2.9E-111	370.5	F	AllB	Dihydroorotase or related cyclic amidohydrolase	HVO_1816
arCOG00689	WP_004040929.1	1.2E-65	220.2	F	AllB	Dihydroorotase or related cyclic amidohydrolase	HVO_A0570
arCOG00689	WP_004041238.1	3.2E-78	261.7	F	AllB	Dihydroorotase or related cyclic amidohydrolase	HVO_B0302
arCOG00689	WP_004043219.1	1.2E-73	246.5	F	AllB	Dihydroorotase or related cyclic amidohydrolase	HVO_A0303
arCOG00690	WP_013035123.1	1E-202	672.2	Q	-	N-acyl-D-aspartate/D-glutamate deacylase	HVO_A0429
arCOG00691	WP_004042650.1	9.9E-67	223.2	R	-	Predicted metal-dependent hydrolase with the TIM-barrel fold	HVO_2582
arCOG00692	WP_004042430.1	2.9E-100	333.6	F	SsnA	Cytosine deaminase or related metal-dependent hydrolase	HVO_2483
arCOG00693	WP_004041225.1	2E-184	611.8	F	AdeC	Adenine deaminase	HVO_B0317
arCOG00695	WP_004045279.1	7E-117	388.5	F	SsnA	Cytosine deaminase or related metal-dependent hydrolase	HVO_0165
arCOG00695	WP_004044765.1	4.5E-113	375.9	F	SsnA	Cytosine deaminase or related metal-dependent hydrolase	HVO_2929
arCOG00696	WP_004040919.1	9.5E-90	299.1	Q	HutI	Imidazolonepropionase or related amidohydrolase	HVO_A0560
arCOG00698	WP_004045261.1	1.6E-261	866.4	E	UreC	Urea amidohydrolase (urease) alpha subunit	HVO_0148
arCOG00701	WP_004042412.1	2.3E-64	215.1	I	UgpQ	Glycerophosphoryl diester phosphodiesterase	HVO_2474
arCOG00701	WP_004041248.1	1.1E-52	176.9	I	UgpQ	Glycerophosphoryl diester phosphodiesterase	HVO_B0291
arCOG00706	WP_004041282.1	1.7E-147	490.4	C	gor	Aldehyde:ferredoxin oxidoreductase	HVO_B0256
arCOG00706	WP_004042075.1	5.4E-164	544.8	C	gor	Aldehyde:ferredoxin oxidoreductase	HVO_2183
arCOG00707	WP_004041291.1	2E-225	747.5	C	-	Aldehyde:ferredoxin oxidoreductase	HVO_B0244
arCOG00713	WP_004043113.1	4.1E-09	34.8	V	-	PIN domain containing protein	HVO_A0188
arCOG00713	WP_013035690.1	0.01	14.1	V	-	PIN domain containing protein	HVO_C0029
arCOG00720	WP_004043823.1	1.6E-90	300.2	V	-	PIN domain containing protein	HVO_1114
arCOG00721	WP_004041844.1	1.3E-40	136.7	J	Nob1	Endonuclease Nob1, consists of a PIN domain and a Zn-ribbon module	HVO_1965
arCOG00731	WP_004041648.1	2.5E-36	122.3	K	ArsR	Transcriptional regulator containing HTH domain, ArsR family	HVO_1766
arCOG00731	WP_004042125.1	1.4E-34	116.7	K	ArsR	Transcriptional regulator containing HTH domain, ArsR family	HVO_2236
arCOG00731	WP_004041883.1	1.1E-31	107.3	K	ArsR	Transcriptional regulator containing HTH domain, ArsR family	HVO_2002
arCOG00748	WP_004042008.1	4.8E-93	309.1	E	DppC	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_2124
arCOG00748	WP_004045088.1	1.1E-83	278.3	E	DppC	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_0060
arCOG00748	WP_004041064.1	2.5E-65	218.2	E	DppC	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_B0091
arCOG00748	WP_013035078.1	2E-100	333.3	E	DppC	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_A0382
arCOG00748	WP_004041390.1	3.3E-102	339.1	E	DppC	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_A0426A
arCOG00748	WP_013035731.1	2.9E-82	273.7	E	DppC	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_C0072
arCOG00748	WP_004043250.1	3.3E-96	319.4	E	DppC	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_A0337
arCOG00748	WP_004041131.1	2.4E-81	270.7	E	DppC	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_B0023
arCOG00748	WP_004041349.1	4.5E-98	325.6	E	DppC	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_B0186
arCOG00748	WP_004041032.1	1.1E-92	307.9	E	DppC	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_B0124
arCOG00748	WP_004044305.1	6.2E-85	282.5	E	DppC	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_0630
arCOG00748	WP_004043012.1	6.3E-63	210.3	E	DppC	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_2765
arCOG00748	WP_004041075.1	4.8E-96	318.9	E	DppC	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_B0080
arCOG00751	WP_004045089.1	1.1E-87	292.1	E	DppB	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_0061
arCOG00751	WP_004044306.1	1.1E-98	328.1	E	DppB	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_0629
arCOG00751	WP_004041033.1	8.7E-89	295.6	E	DppB	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_B0123
arCOG00751	WP_004042009.1	1.2E-90	301.8	E	DppB	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_2125
arCOG00751	WP_004045462.1	1.3E-82	275.4	E	DppB	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_C0073
arCOG00751	WP_004043251.1	4.1E-96	319.7	E	DppB	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_A0338
arCOG00751	WP_004041063.1	8.3E-73	243.1	E	DppB	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_B0092
arCOG00751	WP_004041391.1	9.5E-88	292.2	E	DppB	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_A0427
arCOG00751	WP_013034969.1	7.9E-91	302.4	E	DppB	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_B0185
arCOG00751	WP_004041074.1	1.3E-85	285.2	E	DppB	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_B0081
arCOG00751	WP_013035618.1	5.4E-76	253.6	E	DppB	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_1767
arCOG00751	WP_004041213.1	7.6E-84	279.4	E	DppB	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_B0329
arCOG00751	WP_004043011.1	2.7E-53	179	E	DppB	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_2764
arCOG00751	WP_013035096.1	4.3E-85	283.5	E	DppB	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_A0381
arCOG00751	WP_049914703.1	6.3E-84	279.7	E	DppB	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	HVO_B0022
arCOG00755	WP_004044172.1	3.4E-68	228.7	E	DadA	Glycine/D-amino acid oxidase (deaminating)	HVO_0765
arCOG00755	WP_004044799.1	9.9E-55	184.4	E	DadA	Glycine/D-amino acid oxidase (deaminating)	HVO_2949
arCOG00755	WP_013035730.1	4.7E-52	175.6	E	DadA	Glycine/D-amino acid oxidase (deaminating)	HVO_C0077
arCOG00755	WP_013035729.1	1.1E-42	144.8	E	DadA	Glycine/D-amino acid oxidase (deaminating)	HVO_C0067
arCOG00755	WP_004041143.1	1.4E-56	190.5	E	DadA	Glycine/D-amino acid oxidase (deaminating)	HVO_B0011
arCOG00756	WP_004042293.1	1.6E-119	397.1	E	GcvT	Glycine cleavage system T protein (aminomethyltransferase)	HVO_2404
arCOG00756	WP_004041140.1	7E-98	325.9	E	GcvT	Glycine cleavage system T protein (aminomethyltransferase)	HVO_B0014
arCOG00757	WP_004044526.1	2E-149	495.3	E	GcvT	Glycine cleavage system T protein (aminomethyltransferase)	HVO_0397
arCOG00760	WP_004041864.1	2E-113	376.4	G	Mcl/CitE	Beta-methylmalyl-CoA lyase, Citrate lyase beta subunit family	HVO_1983
arCOG00760	WP_004041334.1	1.8E-114	379.9	G	Mcl/CitE	Beta-methylmalyl-CoA lyase, Citrate lyase beta subunit family	HVO_B0200
arCOG00760	WP_004043483.1	5.8E-93	309.3	G	Mcl/CitE	Beta-methylmalyl-CoA lyase, Citrate lyase beta subunit family	HVO_1452
arCOG00767	WP_004045313.1	4.6E-141	468.5	G	{ManB}	Phosphomannomutase	HVO_0199
arCOG00767	WP_004044889.1	4E-132	439	G	{ManB}	Phosphomannomutase	HVO_2989
arCOG00767	WP_013035155.1	4.2E-126	419.2	G	{ManB}	Phosphomannomutase	HVO_A0602
arCOG00767	WP_004043536.1	5.5E-128	425.4	G	{ManB}	Phosphomannomutase	HVO_1402
arCOG00769	WP_004044733.1	1.7E-36	123.8	R	ThiJ	Putative intracellular protease/amidase	HVO_2912
arCOG00769	WP_004043865.1	4E-29	99.8	R	ThiJ	Putative intracellular protease/amidase	HVO_1073
arCOG00769	WP_004043652.1	3.1E-39	132.7	R	ThiJ	Putative intracellular protease/amidase	HVO_1287
arCOG00770	WP_004045179.1	1.9E-101	338.3	K	DinG	Rad3-related DNA helicase	HVO_0099
arCOG00770	WP_013035586.1	2.6E-119	397.2	K	DinG	Rad3-related DNA helicase	HVO_1351
arCOG00770	WP_004045042.1	2.4E-120	400.6	K	DinG	Rad3-related DNA helicase	HVO_0039
arCOG00773	WP_004041428.1	1.6E-40	136.4	I	-	Acyl-CoA hydrolase	HVO_1550
arCOG00773	WP_004045032.1	9.7E-41	137.1	I	-	Acyl-CoA hydrolase	HVO_0034
arCOG00774	WP_004040870.1	1.3E-30	104	I	Mch	Mesaconyl-CoA hydratase (Acyl dehydratase family)	HVO_A0519
arCOG00774	WP_004043485.1	9.2E-39	130.4	I	Mch	Mesaconyl-CoA hydratase (Acyl dehydratase family)	HVO_1450
arCOG00776	WP_004044722.1	1.4E-58	194.7	I	MaoC	Acyl dehydratase	HVO_2905
arCOG00777	WP_004040871.1	2.3E-27	93.8	Q	PaaI	HGG motif-containing thioesterase, possibly involved in aromatic compounds catabolism	HVO_A0520
arCOG00777	WP_004041693.1	6.5E-33	111.8	Q	PaaI	HGG motif-containing thioesterase, possibly involved in aromatic compounds catabolism	HVO_1810
arCOG00777	WP_004040864.1	4.2E-33	112.4	Q	PaaI	HGG motif-containing thioesterase, possibly involved in aromatic compounds catabolism	HVO_A0513
arCOG00779	WP_004042560.1	7.9E-41	137.5	J	RplO	Ribosomal protein L15	HVO_2542
arCOG00780	WP_004043025.1	1.5E-39	132.2	J	RPL18A	Ribosomal protein L18E	HVO_2779
arCOG00781	WP_013035418.1	1.4E-59	198.8	J	RPL32	Ribosomal protein L32E	HVO_2547
arCOG00782	WP_004042587.1	4.1E-23	79.2	J	RpsN	Ribosomal protein S14	HVO_2550
arCOG00784	WP_004042600.1	3E-29	98.6	J	POP4	RNase P/RNase MRP subunit p29	HVO_2556
arCOG00785	WP_004042603.1	3.7E-19	66.2	J	RpmC	Ribosomal protein L29	HVO_2557
arCOG00794	WP_013035187.1	1.9E-57	191.5	V	Cas4	CRISPR-associated protein Cas4, RecB family nuclease	HVO_A0210
arCOG00795	WP_004043014.1	0	1372	L	-	UvrD/REP helicase	HVO_2767
arCOG00797	WP_004044647.1	0.000000053	29.3	L	UvrD	Superfamily I DNA and RNA helicase	HVO_2827
arCOG00797	WP_004044509.1	3.2E-25	86.2	L	UvrD	Superfamily I DNA and RNA helicase	HVO_0415
arCOG00800	WP_004045370.1	1.7E-79	264.4	V	-	RecB family nuclease	HVO_0254
arCOG00807	WP_004041425.1	0	1177.3	J	IleS	Isoleucyl-tRNA synthetase	HVO_1547
arCOG00808	WP_004044789.1	1.7E-288	957.1	J	ValS	Valyl-tRNA synthetase	HVO_2945
arCOG00809	WP_004044471.1	9.7E-282	934.8	J	LeuS	Leucyl-tRNA synthetase	HVO_0452
arCOG00810	WP_004044127.1	5.3E-210	696.5	J	MetG	Methionyl-tRNA synthetase	HVO_0809
arCOG00826	WP_004042218.1	3.3E-25	86.8	K	WecD	Acetyltransferase (GNAT) family	HVO_2326
arCOG00826	WP_004043047.1	4.5E-37	125.2	K	WecD	Acetyltransferase (GNAT) family	HVO_2804
arCOG00830	WP_004044767.1	1.1E-63	211.8	M	-	Sortase or related acyltransferase	HVO_2930
arCOG00830	WP_004041851.1	1.8E-14	51.7	M	-	Sortase or related acyltransferase	HVO_1972
arCOG00831	WP_004043038.1	2.2E-98	326.3	K	WecD	Acetyltransferase (GNAT) family	HVO_2795
arCOG00831	WP_004042956.1	4.4E-97	322	K	WecD	Acetyltransferase (GNAT) family	HVO_2734
arCOG00833	WP_004041834.1	8E-34	114.8	R	RimI	Acetyltransferase (GNAT) family	HVO_1954
arCOG00833	WP_004042212.1	1.8E-16	58.5	R	RimI	Acetyltransferase (GNAT) family	HVO_2320
arCOG00834	WP_004042312.1	1.1E-33	114	K	WecD	Acetyltransferase (GNAT) family	HVO_2423
arCOG00834	WP_004041704.1	5.5E-56	186.4	K	WecD	Acetyltransferase (GNAT) family	HVO_1821
arCOG00834	WP_004041639.1	2.7E-48	161.5	K	WecD	Acetyltransferase (GNAT) family	HVO_1756
arCOG00839	WP_004044703.1	5.2E-52	173.6	K	WecD	Acetyltransferase (GNAT) family	HVO_2886
arCOG00839	WP_004042691.1	6E-30	102	K	WecD	Acetyltransferase (GNAT) family	HVO_2604
arCOG00840	WP_004041468.1	8.6E-72	238.9	E	ArgA	Acetyltransferase (GNAT family)	HVO_1584
arCOG00842	WP_004041111.1	7.1E-113	372.5	J	RimL	Acetyltransferase, RimL family	HVO_B0043
arCOG00843	WP_004042314.1	0.00028	18.6	J	RimL	Acetyltransferase, RimL family	HVO_2425
arCOG00845	WP_004042485.1	8.6E-78	259.3	K	WecD	Acetyltransferase (GNAT) family	HVO_2510
arCOG00848	WP_004042903.1	3.5E-63	209.6	R	RimI	Acetyltransferase (GNAT) family	HVO_2709
arCOG00853	WP_004042329.1	5.4E-172	570	C	SfcA	Malic enzyme	HVO_2436
arCOG00853	WP_013035373.1	2.5E-167	554.6	C	SfcA	Malic enzyme	HVO_2158
arCOG00856	WP_049914863.1	1.7E-130	433.5	I	CaiC	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II	---
arCOG00856	WP_004044042.1	2.4E-144	479.2	I	CaiC	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II	HVO_0896
arCOG00856	WP_004040907.1	2.2E-140	466.1	I	CaiC	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II	HVO_A0551
arCOG00856	WP_004043564.1	2.1E-153	509.1	I	CaiC	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II	HVO_1375
arCOG00856	WP_004043565.1	3.9E-147	488.4	I	CaiC	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II	HVO_1374
arCOG00858	WP_004041748.1	4.5E-80	266	F	PyrH	Uridylate kinase	HVO_1866
arCOG00860	WP_004043009.1	1.3E-62	209.3	I	-	Isopentenyl phosphate kinase, enzyme of modified mevalonate pathway	HVO_2762
arCOG00861	WP_004044963.1	8.5E-81	270	E	LysC	Aspartokinase	HVO_0008
arCOG00862	WP_004045050.1	4.2E-94	312.6	E	ArgB	Acetylglutamate kinase	HVO_0044
arCOG00864	WP_004043568.1	8.9E-101	334.2	E	ProB	Glutamate 5-kinase	HVO_1371
arCOG00865	WP_004044606.1	3.1E-209	692.9	C	NtpB	Archaeal/vacuolar-type H+-ATPase subunit B	HVO_0317
arCOG00868	WP_004044607.1	2.6E-238	789.6	C	NtpA	Archaeal/vacuolar-type H+-ATPase subunit A	HVO_0316
arCOG00869	WP_004044610.1	3E-41	138.8	C	NtpE	Archaeal/vacuolar-type H+-ATPase subunit E	HVO_0313
arCOG00872	WP_004044943.1	4.8E-301	997.7	L	MPH1	ERCC4-like helicase	HVO_3010
arCOG00873	WP_004041629.1	5.1E-52	174.8	L	-	Excinuclease-associated helix-hairpin-helix domain	HVO_1745
arCOG00873	WP_004043109.1	4.7E-44	148.5	L	-	Excinuclease-associated helix-hairpin-helix domain	HVO_A0182
arCOG00874	WP_004041490.1	3.9E-96	320	K	xpb	ssDNA-dependent ATPase, helicase superfamily II	HVO_1598
arCOG00874	WP_004040802.1	5.5E-98	326.1	K	xpb	ssDNA-dependent ATPase, helicase superfamily II	HVO_A0441
arCOG00874	WP_013035313.1	8.9E-91	302.4	K	xpb	ssDNA-dependent ATPase, helicase superfamily II	HVO_1736
arCOG00880	WP_013035629.1	3.3E-189	628.9	V	HsdR	Type I site-specific restriction-modification system, R (restriction) subunit or related helicase	HVO_2269
arCOG00886	WP_004043360.1	3.2E-45	152.2	K	HepA	Superfamily II DNA/RNA helicase, SNF2 family	HVO_A0078
arCOG00892	WP_049914744.1	3.3E-97	322.6	R	-	Predicted metal-dependent hydrolase with the TIM-barrel fold	HVO_B0211
arCOG00893	WP_004042305.1	3.3E-102	339.1	R	-	Predicted metal-dependent hydrolase (urease superfamily)	HVO_2416
arCOG00894	WP_004041946.1	1.7E-65	219.1	M	-	Glycosyl transferase family 2	HVO_2061
arCOG00894	WP_013035422.1	1.1E-75	252.5	M	-	Glycosyl transferase family 2	HVO_1517
arCOG00895	WP_004041505.1	1.2E-50	170.2	M	-	Glycosyl transferase family 2	HVO_1613
arCOG00895	WP_004044231.1	9E-42	141.3	M	-	Glycosyl transferase family 2	HVO_0704
arCOG00896	WP_013035111.1	3.3E-132	438	M	-	Glycosyl transferase family 2	HVO_A0194
arCOG00897	WP_004044138.1	6.4E-260	861.5	M	AglD	Glycosyl transferase family 2	HVO_0798
arCOG00899	WP_004041646.1	6E-18	63	M	AglD2	Predicted flippase	HVO_1763
arCOG00899	WP_004041741.1	4.7E-45	152	M	AglD2	Predicted flippase	HVO_1859
arCOG00905	WP_004043905.1	9.5E-29	98.4	L	-	Uracil-DNA glycosylase	HVO_1038
arCOG00905	WP_004043036.1	4.1E-44	148.5	L	-	Uracil-DNA glycosylase	HVO_2792
arCOG00905	WP_004045345.1	3.5E-43	145.4	L	-	Uracil-DNA glycosylase	HVO_0231
arCOG00905	WP_004044480.1	2.7E-45	152.3	L	-	Uracil-DNA glycosylase	HVO_0444
arCOG00906	WP_004044237.1	2.7E-17	60.4	J	Nop10	rRNA maturation protein Nop10, contains Zn-ribbon domain	HVO_0698
arCOG00911	WP_004043481.1	1.2E-121	403.1	F	PyrB	Aspartate carbamoyltransferase, catalytic chain	HVO_1454
arCOG00912	WP_004045044.1	9.2E-101	334.8	E	ArgF	Ornithine carbamoyltransferase	HVO_0041
arCOG00914	WP_004045048.1	2.1E-137	455.5	E	ArgD	Ornithine/acetylornithine aminotransferase	HVO_0043
arCOG00915	WP_004041085.1	2.6E-114	380.4	E	GabT	4-aminobutyrate aminotransferase or related aminotransferase	HVO_B0070
arCOG00915	WP_004044687.1	1.4E-118	394.4	E	GabT	4-aminobutyrate aminotransferase or related aminotransferase	HVO_2871
arCOG00915	WP_004041277.1	3E-115	383.5	E	GabT	4-aminobutyrate aminotransferase or related aminotransferase	HVO_B0261
arCOG00915	WP_004041975.1	1.9E-117	390.7	E	GabT	4-aminobutyrate aminotransferase or related aminotransferase	HVO_2091
arCOG00915	WP_004041281.1	1.7E-124	414	E	GabT	4-aminobutyrate aminotransferase or related aminotransferase	HVO_B0257
arCOG00915	WP_004041108.1	1.1E-125	417.9	E	GabT	4-aminobutyrate aminotransferase or related aminotransferase	HVO_B0046
arCOG00916	WP_004043222.1	2.2E-177	587.8	E	GabT	4-aminobutyrate aminotransferase or related aminotransferase	HVO_A0306
arCOG00918	WP_004045135.1	1.8E-152	505.9	H	HemL	Glutamate-1-semialdehyde aminotransferase	HVO_0081
arCOG00919	WP_004045284.1	1.6E-10	37.3	L	-	Holliday junction resolvase, archaeal type	HVO_0170
arCOG00922	WP_004041966.1	3.5E-81	269.3	V	SalX	ABC-type antimicrobial peptide transport system, ATPase component	HVO_2083
arCOG00922	WP_004042048.1	3.5E-80	266	V	SalX	ABC-type antimicrobial peptide transport system, ATPase component	HVO_2163
arCOG00923	WP_004041767.1	1.8E-73	244.6	E	GlnQ	ABC-type polar amino acid transport system, ATPase component	HVO_1886
arCOG00923	WP_004042321.1	4.3E-112	371.1	E	GlnQ	ABC-type polar amino acid transport system, ATPase component	
arCOG00924	WP_004043043.1	1E-92	307.5	E	LivF	ABC-type branched-chain amino acid transport system, ATPase component	HVO_2800
arCOG00924	WP_004040865.1	1.4E-55	185.9	E	LivF	ABC-type branched-chain amino acid transport system, ATPase component	HVO_A0514
arCOG00924	WP_004043745.1	1.5E-71	238.2	E	LivF	ABC-type branched-chain amino acid transport system, ATPase component	HVO_1196
arCOG00924	WP_004041314.1	3.7E-75	250	E	LivF	ABC-type branched-chain amino acid transport system, ATPase component	HVO_B0221
arCOG00924	WP_004044036.1	8.7E-80	265.2	E	LivF	ABC-type branched-chain amino acid transport system, ATPase component	HVO_0903
arCOG00924	WP_004040938.1	6.8E-68	226.2	E	LivF	ABC-type branched-chain amino acid transport system, ATPase component	
arCOG00925	WP_004043746.1	1.3E-113	376.1	E	LivG	ABC-type branched-chain amino acid transport system, ATPase component	HVO_1195
arCOG00925	WP_004043044.1	2.1E-125	414.8	E	LivG	ABC-type branched-chain amino acid transport system, ATPase component	HVO_2801
