locus_tag	dbxref	ncbi_id	genomic_accession	feature	start	stop	strand	gene	gbkey	gene_biotype	old_locus_tag	length	protein	thane_gene	thane_gene_description	gene_name	kegg1	kegg2	kegg3	pathway	kegg_prot	kegg_id	definition	keggidprot	Gene.Name	Species	EC_NUMBER	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OFFICIAL_GENE_SYMBOL	PFAM	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	cog	arcog	chr
HVO_RS03190	8923314	lcl|NC_013966.1_cds_WP_004043215.1_751	NC_013966.1	gene	311015	312424	+	750	Gene	protein_coding	HVO_A0299	1409	spermidine/putrescine ABC transporter substrate-binding protein			potD	NA	NA	NA	NA	NA	NA	NA	NA: NA	spermidine/putrescine ABC transporter substrate-binding protein(HVO_RS03190)	Haloferax volcanii DS2							HVO_RS03190,					COG0687E	arCOG00220	pHV4
HVO_RS03195	8923309	lcl|NC_013966.1_cds_WP_004043216.1_752	NC_013966.1	gene	312482	313378	+	751	Gene	protein_coding	HVO_A0300	896	spermidine/putrescine ABC transporter permease			potB	NA	NA	NA	NA	NA	NA	NA	NA: NA	spermidine/putrescine ABC transporter permease(HVO_RS03195)	Haloferax volcanii DS2		GO:0006810~transport	GO:0005886~plasma membrane,GO:0016021~integral component of membrane		IPR000515:Binding-protein-dependent transport systems inner membrane component		HVO_RS03195	PF00528:Binding-protein-dependent transport system inner membrane component			Complete proteome,Membrane,Plasmid,Reference proteome,Transmembrane,Transmembrane helix,Transport,	COG1176E	arCOG00161	pHV4
HVO_RS03200	8923800	lcl|NC_013966.1_cds_WP_049914847.1_753	NC_013966.1	gene	313476	314375	+	752	Gene	protein_coding	HVO_A0301	899	polysaccharide deacetylase				NA	NA	NA	NA	NA	NA	NA	NA: NA	polysaccharide deacetylase(HVO_RS03200)	Haloferax volcanii DS2							HVO_RS03200,					COG0726G	arCOG02876	pHV4
HVO_RS03205	8923374	lcl|NC_013966.1_cds_WP_004043218.1_754	NC_013966.1	gene	314482	315456	-	753	Gene	protein_coding	HVO_A0302	974	L-asparaginase			ansB	Metabolism	Metabolism of other amino acids	00460 Cyanoamino acid metabolism 	[PATH:hvo00460]	ansB; asparaginase family protein	K01424	E3.5.1.1; L-asparaginase [EC:3.5.1.1]	K01424: ansB; asparaginase family protein	L-asparaginase(HVO_RS03205)	Haloferax volcanii DS2	3.5.1.1	GO:0006520~cellular amino acid metabolic process		GO:0004067~asparaginase activity	IPR006034:Asparaginase/glutaminase,IPR020827:Asparaginase/glutaminase, active site 1,IPR027473:L-asparaginase, C-terminal domain,IPR027474:L-asparaginase, N-terminal,IPR027475:Asparaginase/glutaminase, active site 2	hvo00250:Alanine, aspartate and glutamate metabolism,hvo00460:Cyanoamino acid metabolism,hvo01100:Metabolic pathways,hvo01110:Biosynthesis of secondary metabolites	HVO_RS03205	PF00710:Asparaginase	PIRSF001220:L-asparaginase/Glutamyl-tRNA(Gln) amidotransferase subunit D	SM00870:SM00870	Complete proteome,Hydrolase,Plasmid,Reference proteome,	COG0252EJ	arCOG01924	pHV4
HVO_RS03210	8923467	lcl|NC_013966.1_cds_WP_004043219.1_755	NC_013966.1	gene	315790	317169	+	754	Gene	protein_coding	HVO_A0303	1379	allantoinase			pucH2	Metabolism	Nucleotide metabolism	00240 Pyrimidine metabolism 	[PATH:hvo00240]	dht; D-hydantoinase	K01464	DPYS; dihydropyrimidinase [EC:3.5.2.2]	K01464: dht; D-hydantoinase	allantoinase(HVO_RS03210)	Haloferax volcanii DS2	3.5.2.2			GO:0004157~dihydropyrimidinase activity	IPR006680:Amidohydrolase 1,IPR011059:Metal-dependent hydrolase, composite domain	hvo00240:Pyrimidine metabolism,hvo00410:beta-Alanine metabolism,hvo00770:Pantothenate and CoA biosynthesis,hvo01100:Metabolic pathways	HVO_RS03210	PF01979:Amidohydrolase family			Complete proteome,Hydrolase,Plasmid,Reference proteome,	COG0044F	arCOG00689	pHV4
HVO_RS03215	8923241	lcl|NC_013966.1_cds_WP_013035193.1_756	NC_013966.1	gene	317221	318993	+	755	Gene	protein_coding	HVO_A0304	1772	hypothetical protein				NA	NA	NA	NA	NA	NA	NA	NA: NA	similar to NEQ141(HVO_RS03215)	Haloferax volcanii DS2				GO:0005524~ATP binding	IPR002423:Chaperonin Cpn60/TCP-1,IPR017998:Chaperone tailless complex polypeptide 1 (TCP-1),IPR027409:GroEL-like apical domain,IPR027410:TCP-1-like chaperonin intermediate domain,IPR027413:GroEL-like equatorial domain		HVO_RS03215	PF00118:TCP-1/cpn60 chaperonin family			ATP-binding,Chaperone,Complete proteome,Nucleotide-binding,Plasmid,Reference proteome,	COG0459O	arCOG01257	pHV4
HVO_RS03220	8923767	lcl|NC_013966.1_cds_WP_004043221.1_757	NC_013966.1	gene	319083	320552	-	756	Gene	protein_coding	HVO_A0305	1469	methylmalonate-semialdehyde dehydrogenase (CoA acylating)			mmsA	Metabolism	Amino acid metabolism	00280 Valine, leucine and isoleucine degradation 	[PATH:hvo00280]	mmsA; methylmalonate-semialdehyde dehydrogenase	K00140	mmsA; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	K00140: mmsA; methylmalonate-semialdehyde dehydrogenase	methylmalonate-semialdehyde dehydrogenase (acylating)(HVO_RS03220)	Haloferax volcanii DS2	1.2.1.27			GO:0004491~methylmalonate-semialdehyde dehydrogenase (acylating) activity	IPR010061:Methylmalonate-semialdehyde dehydrogenase,IPR015590:Aldehyde dehydrogenase domain,IPR016161:Aldehyde/histidinol dehydrogenase,IPR016162:Aldehyde dehydrogenase, N-terminal,IPR016163:Aldehyde dehydrogenase, C-terminal	hvo00280:Valine, leucine and isoleucine degradation,hvo00410:beta-Alanine metabolism,hvo00562:Inositol phosphate metabolism,hvo00640:Propanoate metabolism,hvo01100:Metabolic pathways,hvo01200:Carbon metabolism	HVO_RS03220	PF00171:Aldehyde dehydrogenase family			Complete proteome,Oxidoreductase,Plasmid,Reference proteome,	COG1012C	arCOG01252	pHV4
HVO_RS03225	8923488	lcl|NC_013966.1_cds_WP_004043222.1_758	NC_013966.1	gene	320724	322061	+	757	Gene	protein_coding	HVO_A0306	1337	aspartate aminotransferase family protein				Metabolism	Metabolism of other amino acids	00410 beta-Alanine metabolism 	[PATH:hvo00410]	gabT6; 4-aminobutyrate aminotransferase	K15372	toa; taurine---2-oxoglutarate transaminase [EC:2.6.1.55]	K15372: gabT6; 4-aminobutyrate aminotransferase	aspartate aminotransferase family protein(HVO_RS03225)	Haloferax volcanii DS2	2.6.1.19			GO:0003867~4-aminobutyrate transaminase activity,GO:0030170~pyridoxal phosphate binding	IPR005814:Aminotransferase class-III,IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1,IPR015422:Pyridoxal phosphate-dependent transferase, major region, subdomain 2,IPR015424:Pyridoxal phosphate-dependent transferase	hvo00410:beta-Alanine metabolism,hvo00430:Taurine and hypotaurine metabolism,hvo01100:Metabolic pathways	HVO_RS03225	PF00202:Aminotransferase class-III			Aminotransferase,Complete proteome,Plasmid,Pyridoxal phosphate,Reference proteome,Transferase,	COG0161H	arCOG00916	pHV4
HVO_RS03230	8923471	lcl|NC_013966.1_cds_WP_004043223.1_759	NC_013966.1	gene	322110	322643	+	758	Gene	protein_coding	HVO_A0307	533	AsnC family transcriptional regulator				NA	NA	NA	NA	NA	NA	NA	NA: NA	AsnC family transcriptional regulator(HVO_RS03230)	Haloferax volcanii DS2		GO:0006351~transcription, DNA-templated	GO:0005622~intracellular	GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding	IPR000485:AsnC-type HTH domain,IPR011008:Dimeric alpha-beta barrel,IPR011991:Winged helix-turn-helix DNA-binding domain,IPR019887:Transcription regulator AsnC-type, C-terminal,IPR019888:Transcription regulator AsnC-type		HVO_RS03230	PF01037:AsnC family		SM00344:HTH_ASNC	Complete proteome,DNA-binding,Plasmid,Reference proteome,Transcription,Transcription regulation,	COG1522K	arCOG01580	pHV4
HVO_RS03235	8923259	lcl|NC_013966.1_cds_761	NC_013966.1	gene	323165	323504	+	760	Gene	pseudogene	HVO_A0309	339	transposase				NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS03235)	Haloferax volcanii DS2							HVO_RS03235				Complete proteome,	NA	NA	pHV4
HVO_RS03240	8923796	lcl|NC_013966.1_cds_WP_004043225.1_762	NC_013966.1	gene	324116	324808	-	761	Gene	protein_coding	HVO_A0310	692	hypothetical protein				NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS03240)	Haloferax volcanii DS2							HVO_RS03240				Complete proteome,	-	arCOG08109	pHV4
HVO_RS03245	8923732	lcl|NC_013966.1_cds_WP_004043226.1_763	NC_013966.1	gene	324918	325835	-	762	Gene	protein_coding	HVO_A0311	917	halocin C8 (TBD)				NA	NA	NA	NA	NA	NA	NA	NA: NA	halocin C8 (TBD)(HVO_RS03245)	Haloferax volcanii DS2					IPR006311:Twin-arginine translocation pathway, signal sequence		HVO_RS03245				Complete proteome,Plasmid,Reference proteome,	-	arCOG07527	pHV4
HVO_RS03250	8923572	lcl|NC_013966.1_cds_WP_004043227.1_764	NC_013966.1	gene	326055	326849	+	763	Gene	protein_coding	HVO_A0312	794	hypothetical protein				NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS03250)	Haloferax volcanii DS2					IPR011991:Winged helix-turn-helix DNA-binding domain		HVO_RS03250				Complete proteome,Plasmid,Reference proteome,	COG4742K	arCOG02809	pHV4
HVO_RS03255	8923821	lcl|NC_013966.1_cds_WP_004043228.1_765	NC_013966.1	gene	326858	327058	-	764	Gene	protein_coding	HVO_A0313	200	transcriptional regulator				NA	NA	NA	NA	NA	NA	NA	NA: NA	transcriptional regulator(HVO_RS03255)	Haloferax volcanii DS2				GO:0043565~sequence-specific DNA binding	IPR001387:Helix-turn-helix,IPR010982:Lambda repressor-like, DNA-binding domain		HVO_RS03255	PF01381:Helix-turn-helix		SM00530:HTH_XRE	Complete proteome,Plasmid,Reference proteome,	COG1476K	arCOG01864	pHV4
HVO_RS03260	8923556	lcl|NC_013966.1_cds_WP_013035089.1_766	NC_013966.1	gene	327064	327474	-	765	Gene	protein_coding	HVO_A0314	410	hypothetical protein				NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS03260)	Haloferax volcanii DS2			GO:0016021~integral component of membrane				HVO_RS03260				Complete proteome,Membrane,Plasmid,Reference proteome,Transmembrane,Transmembrane helix,	-	-	pHV4
HVO_RS03265	8923453	lcl|NC_013966.1_cds_WP_004043230.1_767	NC_013966.1	gene	327461	327676	-	766	Gene	protein_coding	HVO_A0315	215	hypothetical protein				NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS03265)	Haloferax volcanii DS2							HVO_RS03265,					-	arCOG09375	pHV4
HVO_RS03270	8923514	lcl|NC_013966.1_cds_WP_004043231.1_768	NC_013966.1	gene	328146	329093	-	767	Gene	protein_coding	HVO_A0316	947	hypothetical protein				NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS03270)	Haloferax volcanii DS2			GO:0016021~integral component of membrane				HVO_RS03270				Complete proteome,Membrane,Plasmid,Reference proteome,Transmembrane,Transmembrane helix,	-	arCOG03934	pHV4
HVO_RS03275	8923430	lcl|NC_013966.1_cds_WP_004043232.1_769	NC_013966.1	gene	329316	329672	+	768	Gene	protein_coding	HVO_A0317	356	transcription regulator				NA	NA	NA	NA	NA	NA	NA	NA: NA	transcription regulator(HVO_RS03275)	Haloferax volcanii DS2					IPR011991:Winged helix-turn-helix DNA-binding domain		HVO_RS03275	PF12840:Helix-turn-helix domain			Complete proteome,Plasmid,Reference proteome,	-	arCOG03065	pHV4
HVO_RS03280	8923709	lcl|NC_013966.1_cds_WP_004043233.1_770	NC_013966.1	gene	329674	329997	+	769	Gene	protein_coding	HVO_A0318	323	hypothetical protein				NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS03280)	Haloferax volcanii DS2			GO:0016021~integral component of membrane				HVO_RS03280				Complete proteome,Membrane,Transmembrane,Transmembrane helix,	-	arCOG03916	pHV4
HVO_RS03285	8923270	lcl|NC_013966.1_cds_WP_049914851.1_773	NC_013966.1	gene	330580	331287	-	772	Gene	protein_coding	HVO_A0320	707	hypothetical protein				NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS03285)	Haloferax volcanii DS2							HVO_RS03285,					-	arCOG04389	pHV4
HVO_RS03290	8923761	lcl|NC_013966.1_cds_WP_004043235.1_774	NC_013966.1	gene	331609	332256	-	773	Gene	protein_coding	HVO_A0321	647	hypothetical protein				NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS03290)	Haloferax volcanii DS2			GO:0016021~integral component of membrane				HVO_RS03290				Complete proteome,Membrane,Plasmid,Reference proteome,Transmembrane,Transmembrane helix,	-	arCOG06433	pHV4
HVO_RS03295	8923542	lcl|NC_013966.1_cds_WP_013035087.1_775	NC_013966.1	gene	332424	333305	+	774	Gene	protein_coding	HVO_A0322	881	nitrite reductase				NA	NA	NA	NA	NA	NA	NA	NA: NA	nitrite reductase(HVO_RS03295)	Haloferax volcanii DS2		GO:0006810~transport	GO:0016021~integral component of membrane				HVO_RS03295	PF12679:ABC-2 family transporter protein			Complete proteome,Membrane,Plasmid,Reference proteome,Transmembrane,Transmembrane helix,	COG1277R	arCOG02438	pHV4
HVO_RS03300	8923443	lcl|NC_013966.1_cds_WP_004043237.1_776	NC_013966.1	gene	333302	334057	+	775	Gene	protein_coding	HVO_A0323	755	ABC transporter ATP-binding protein				NA	NA	NA	NA	NA	NA	NA	NA: NA	ABC transporter ATP-binding protein(HVO_RS03300)	Haloferax volcanii DS2				GO:0005524~ATP binding,GO:0016887~ATPase activity	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase		HVO_RS03300	PF00005:ABC transporter		SM00382:AAA	ATP-binding,Complete proteome,Nucleotide-binding,Plasmid,Reference proteome,	COG1131V	arCOG00194	pHV4
HVO_RS03305	8923711	lcl|NC_013966.1_cds_WP_004043238.1_777	NC_013966.1	gene	334054	334635	+	776	Gene	protein_coding	HVO_A0324	581	hypothetical protein				NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS03305)	Haloferax volcanii DS2							HVO_RS03305				Complete proteome,Plasmid,Reference proteome,	-	arCOG09074	pHV4
HVO_RS03310	25143384	lcl|NC_013966.1_cds_WP_004043239.1_778	NC_013966.1	gene	335491	335766	-	777	Gene	protein_coding	HVO_RS03310	275	cellulase				NA	NA	NA	NA	NA	NA	NA	NA: NA	cellulase(HVO_RS03310)	Haloferax volcanii DS2					IPR003961:Fibronectin, type III,IPR013783:Immunoglobulin-like fold		HVO_RS03310				Complete proteome,	NA	NA	pHV4
HVO_RS03315	8923475	lcl|NC_013966.1_cds_WP_013035125.1_779	NC_013966.1	gene	336439	338493	-	778	Gene	protein_coding	HVO_A0326	2054	beta-galactosidase			bgaH	Metabolism	Carbohydrate metabolism	00052 Galactose metabolism 	[PATH:hvo00052]	bgaH; beta-D-galactosidase	K12308	bgaB; beta-galactosidase [EC:3.2.1.23]	K12308: bgaH; beta-D-galactosidase	beta-D-galactosidase(HVO_RS03315)	Haloferax volcanii DS2		GO:0006012~galactose metabolic process	GO:0009341~beta-galactosidase complex	GO:0004565~beta-galactosidase activity	IPR013529:Glycoside hydrolase, family 42, N-terminal,IPR013738:Beta-galactosidase trimerisation,IPR013739:Beta-galactosidase C-terminal,IPR013780:Glycosyl hydrolase, family 13, all-beta,IPR013781:Glycoside hydrolase, catalytic domain,IPR017853:Glycoside hydrolase, superfamily	hvo00052:Galactose metabolism	HVO_RS03315	PF02449:Beta-galactosidase,PF08532:Beta-galactosidase trimerisation domain,PF08533:Beta-galactosidase C-terminal domain			Complete proteome,	COG1874G	arCOG04085	pHV4
HVO_RS03320	8923588	lcl|NC_013966.1_cds_WP_004043241.1_780	NC_013966.1	gene	338726	339682	+	779	Gene	protein_coding	HVO_A0328	956	2-keto-3-deoxygluconate kinase			kdgK2	Metabolism	Carbohydrate metabolism	00030 Pentose phosphate pathway 	[PATH:hvo00030]	pfk1; 2-keto-3-deoxygluconate kinase	K00874	kdgK; 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]	K00874: pfk1; 2-keto-3-deoxygluconate kinase	2-keto-3-deoxygluconate kinase(HVO_RS03320)	Haloferax volcanii DS2	2.7.1.11			GO:0003872~6-phosphofructokinase activity	IPR011611:Carbohydrate kinase PfkB	hvo00030:Pentose phosphate pathway,hvo01100:Metabolic pathways,hvo01120:Microbial metabolism in diverse environments,hvo01200:Carbon metabolism	HVO_RS03320	PF00294:pfkB family carbohydrate kinase			Complete proteome,Kinase,Plasmid,Reference proteome,Transferase,	COG0524G	arCOG00014	pHV4
HVO_RS03325	8923641	lcl|NC_013966.1_cds_WP_004043242.1_781	NC_013966.1	gene	339767	340414	-	780	Gene	protein_coding	HVO_A0329	647	2-dehydro-3-deoxy-phosphogluconate aldolase			kdgA3	Metabolism	Carbohydrate metabolism	00030 Pentose phosphate pathway 	[PATH:hvo00030]	kdgA3; 2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase	K01625	eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]	K01625: kdgA3; 2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase	2-dehydro-3-deoxy-phosphogluconate aldolase(HVO_RS03325)	Haloferax volcanii DS2	4.1.2.14	GO:0008152~metabolic process		GO:0008675~2-dehydro-3-deoxy-phosphogluconate aldolase activity	IPR000887:KDPG/KHG aldolase,IPR013785:Aldolase-type TIM barrel	hvo00030:Pentose phosphate pathway,hvo00630:Glyoxylate and dicarboxylate metabolism,hvo01100:Metabolic pathways,hvo01120:Microbial metabolism in diverse environments,hvo01200:Carbon metabolism	HVO_RS03325	PF01081:KDPG and KHG aldolase			Complete proteome,Lyase,Plasmid,Reference proteome,	COG0800G	arCOG01090	pHV4
HVO_RS03330	8923721	lcl|NC_013966.1_cds_WP_004043243.1_782	NC_013966.1	gene	340496	341569	-	781	Gene	protein_coding	HVO_A0330	1073	glucose-fructose oxidoreductase				Metabolism	Carbohydrate metabolism	00040 Pentose and glucuronate interconversions 	[PATH:hvo00040]	gfo2; xylose dehydrogenase	K14273	xdh; D-xylose 1-dehydrogenase (NADP+) [EC:1.1.1.179]	K14273: gfo2; xylose dehydrogenase	glucose-fructose oxidoreductase(HVO_RS03330)	Haloferax volcanii DS2	1.1.99.28			GO:0047061~glucose-fructose oxidoreductase activity	IPR000683:Oxidoreductase, N-terminal,IPR008354:Glucose-fructose oxidoreductase, bacterial,IPR016040:NAD(P)-binding domain	hvo00040:Pentose and glucuronate interconversions	HVO_RS03330	PF01408:Oxidoreductase family, NAD-binding Rossmann fold			Complete proteome,Oxidoreductase,Plasmid,Reference proteome,	COG0673R	arCOG01622	pHV4
HVO_RS03335	8923743	lcl|NC_013966.1_cds_WP_013035117.1_783	NC_013966.1	gene	341689	342843	+	782	Gene	protein_coding	HVO_A0331	1154	galactonate dehydratase			dgoD1	Metabolism	Carbohydrate metabolism	00052 Galactose metabolism 	[PATH:hvo00052]	mandelate racemase/muconate lactonizing enzyme family protein	K01684	dgoD; galactonate dehydratase [EC:4.2.1.6]	K01684: mandelate racemase/muconate lactonizing enzyme family protein	galactonate dehydratase(HVO_RS03335)	Haloferax volcanii DS2		GO:0009063~cellular amino acid catabolic process		GO:0003824~catalytic activity	IPR001354:Mandelate racemase/muconate lactonizing enzyme,IPR013341:Mandelate racemase/muconate lactonizing enzyme, N-terminal,IPR013342:Mandelate racemase/muconate lactonizing enzyme, C-terminal,IPR018110:Mandelate racemase/muconate lactonizing enzyme, conserved site	hvo00052:Galactose metabolism,hvo01100:Metabolic pathways,hvo01120:Microbial metabolism in diverse environments	HVO_RS03335	PF02746:Mandelate racemase / muconate lactonizing enzyme, N-terminal domain,PF13378:Enolase C-terminal domain-like		SM00922:SM00922	Complete proteome,Plasmid,Reference proteome,	COG4948MR	arCOG01168	pHV4
HVO_RS03340	8923544	lcl|NC_013966.1_cds_WP_004043245.1_784	NC_013966.1	gene	342911	343681	+	783	Gene	protein_coding	HVO_A0332	770	ArcR family transcription regulator				NA	NA	NA	NA	NA	NA	NA	NA: NA	ArcR family transcription regulator(HVO_RS03340)	Haloferax volcanii DS2		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated		GO:0003677~DNA binding	IPR005471:Transcription regulator IclR, N-terminal,IPR011991:Winged helix-turn-helix DNA-binding domain,IPR014757:Transcription regulator IclR, C-terminal		HVO_RS03340	PF01614:Bacterial transcriptional regulator,PF09339:IclR helix-turn-helix domain		SM00346:HTH_ICLR	Complete proteome,DNA-binding,Transcription,Transcription regulation,	COG1414K	arCOG02798	pHV4
HVO_RS03345	8923306	lcl|NC_013966.1_cds_WP_004043246.1_785	NC_013966.1	gene	344829	345425	+	784	Gene	protein_coding	HVO_A0333	596	transcription elongation protein SprT				NA	NA	NA	NA	NA	NA	NA	NA: NA	transcription elongation protein SprT(HVO_RS03345)	Haloferax volcanii DS2					IPR006640:Domain of unknown function SprT-like		HVO_RS03345	PF10263:SprT-like family			Complete proteome,Plasmid,Reference proteome,	COG3091S	arCOG08163	pHV4
HVO_RS03350	8923697	lcl|NC_013966.1_cds_WP_004043247.1_786	NC_013966.1	gene	345455	345649	-	785	Gene	protein_coding	HVO_A0334	194	hypothetical protein				NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS03350)	Haloferax volcanii DS2			GO:0016021~integral component of membrane				HVO_RS03350				Complete proteome,Membrane,Transmembrane,Transmembrane helix,	-	arCOG13577	pHV4
HVO_RS03355	8923458	lcl|NC_013966.1_cds_WP_004043248.1_787	NC_013966.1	gene	346018	346707	+	786	Gene	protein_coding	HVO_A0335	689	hypothetical protein				NA	NA	NA	NA	NA	NA	NA	NA: NA	hypothetical protein(HVO_RS03355)	Haloferax volcanii DS2					IPR010430:Protein of unknown function DUF1028		HVO_RS03355	PF06267:Family of unknown function (DUF1028)			Coiled coil,Complete proteome,Plasmid,Reference proteome,	COG3342S	arCOG04204	pHV4
HVO_RS03360	8923313	lcl|NC_013966.1_cds_WP_004043249.1_788	NC_013966.1	gene	346747	348900	-	787	Gene	protein_coding	HVO_A0336	2153	dipeptide ABC transporter ATP-binding protein			dppDF7	Environmental Information Processing	Cellular community - prokaryotes	02024 Quorum sensing 	[PATH:hvo02024]	dppDF7; ABC-type transport system ATP-binding protein (probable substrate dipeptides/oligopeptides)	K02031	ABC.PE.A; peptide/nickel transport system ATP-binding protein	K02031: dppDF7; ABC-type transport system ATP-binding protein (probable substrate dipeptides/oligopeptides)	dipeptide ABC transporter ATP-binding protein(HVO_RS03360)	Haloferax volcanii DS2		GO:0015833~peptide transport		GO:0005524~ATP binding,GO:0016887~ATPase activity	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR013563:Oligopeptide/dipeptide ABC transporter, C-terminal,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase		HVO_RS03360	PF00005:ABC transporter,PF08352:Oligopeptide/dipeptide transporter, C-terminal region		SM00382:AAA	ATP-binding,Complete proteome,Nucleotide-binding,Plasmid,Reference proteome,	COG0444EP	arCOG00184	pHV4
HVO_RS03365	8923394	lcl|NC_013966.1_cds_WP_004043250.1_789	NC_013966.1	gene	348897	349796	-	788	Gene	protein_coding	HVO_A0337	899	ABC transporter permease			dppC7	Environmental Information Processing	Cellular community - prokaryotes	02024 Quorum sensing 	[PATH:hvo02024]	dppC7; ABC-type transport system permease protein (probable substrate dipeptides/oligopeptides)	K02034	ABC.PE.P1; peptide/nickel transport system permease protein	K02034: dppC7; ABC-type transport system permease protein (probable substrate dipeptides/oligopeptides)	ABC transporter permease(HVO_RS03365)	Haloferax volcanii DS2		GO:0006810~transport	GO:0005886~plasma membrane,GO:0016021~integral component of membrane		IPR000515:Binding-protein-dependent transport systems inner membrane component,IPR025966:Oligopeptide transport permease C-like, N-terminal domain		HVO_RS03365	PF00528:Binding-protein-dependent transport system inner membrane component,PF12911:N-terminal TM domain of oligopeptide transport permease C			Complete proteome,Membrane,Plasmid,Reference proteome,Transmembrane,Transmembrane helix,Transport,	COG1173EP	arCOG00748	pHV4
HVO_RS03370	8923423	lcl|NC_013966.1_cds_WP_004043251.1_790	NC_013966.1	gene	349796	350755	-	789	Gene	protein_coding	HVO_A0338	959	peptide ABC transporter permease			dppB7	Environmental Information Processing	Cellular community - prokaryotes	02024 Quorum sensing 	[PATH:hvo02024]	dppB7; ABC-type transport system permease protein (probable substrate dipeptides/oligopeptides)	K02033	ABC.PE.P; peptide/nickel transport system permease protein	K02033: dppB7; ABC-type transport system permease protein (probable substrate dipeptides/oligopeptides)	peptide ABC transporter permease(HVO_RS03370)	Haloferax volcanii DS2		GO:0006810~transport	GO:0005886~plasma membrane,GO:0016021~integral component of membrane		IPR000515:Binding-protein-dependent transport systems inner membrane component		HVO_RS03370	PF00528:Binding-protein-dependent transport system inner membrane component			Complete proteome,Membrane,Plasmid,Reference proteome,Transmembrane,Transmembrane helix,Transport,	COG0601EP	arCOG00751	pHV4
HVO_RS03375	8923601	lcl|NC_013966.1_cds_WP_004043252.1_791	NC_013966.1	gene	350771	352444	-	790	Gene	protein_coding	HVO_A0339	1673	peptide ABC transporter substrate-binding protein			dppA7	Environmental Information Processing	Cellular community - prokaryotes	02024 Quorum sensing 	[PATH:hvo02024]	dppA7; ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptides/oligopeptides)	K02035	ABC.PE.S; peptide/nickel transport system substrate-binding protein	K02035: dppA7; ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptides/oligopeptides)	peptide ABC transporter substrate-binding protein(HVO_RS03375)	Haloferax volcanii DS2		GO:0055085~transmembrane transport	GO:0043190~ATP-binding cassette (ABC) transporter complex		IPR000914:Bacterial extracellular solute-binding protein, family 5,IPR006311:Twin-arginine translocation pathway, signal sequence		HVO_RS03375	PF00496:Bacterial extracellular solute-binding proteins, family 5 Middle	PIRSF002741:peptide binding protein, MppA type		Complete proteome,Plasmid,Reference proteome,	COG0747E	arCOG01534	pHV4
