ID	Gene Name	Species	EC_NUMBER	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OFFICIAL_GENE_SYMBOL	PFAM	PIR_SUPERFAMILY	SMART	UP_KEYWORDS
8926926	IS630 family transposase(HVO_RS19605)	Haloferax volcanii DS2				GO:0003677~DNA binding	IPR009057:Homeodomain-like		HVO_RS19605				Complete proteome,Plasmid,Reference proteome,
8919114	IclR family transcriptional regulator(HVO_RS00190)	Haloferax volcanii DS2		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated		GO:0003677~DNA binding	IPR005471:Transcription regulator IclR, N-terminal,IPR011991:Winged helix-turn-helix DNA-binding domain,IPR014757:Transcription regulator IclR, C-terminal		HVO_RS00190	PF01614:Bacterial transcriptional regulator,PF09339:IclR helix-turn-helix domain		SM00346:HTH_ICLR	Complete proteome,DNA-binding,Plasmid,Reference proteome,Transcription,Transcription regulation,
8919038	IclR family transcriptional regulator(HVO_RS00490)	Haloferax volcanii DS2		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated		GO:0003677~DNA binding	IPR005471:Transcription regulator IclR, N-terminal,IPR011991:Winged helix-turn-helix DNA-binding domain,IPR014757:Transcription regulator IclR, C-terminal		HVO_RS00490	PF01614:Bacterial transcriptional regulator,PF09339:IclR helix-turn-helix domain		SM00346:HTH_ICLR	Complete proteome,DNA-binding,Plasmid,Reference proteome,Transcription,Transcription regulation,
8919139	IclR family transcriptional regulator(HVO_RS00550)	Haloferax volcanii DS2		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated		GO:0003677~DNA binding	IPR005471:Transcription regulator IclR, N-terminal,IPR011991:Winged helix-turn-helix DNA-binding domain,IPR014757:Transcription regulator IclR, C-terminal		HVO_RS00550	PF01614:Bacterial transcriptional regulator,PF09339:IclR helix-turn-helix domain		SM00346:HTH_ICLR	Complete proteome,DNA-binding,Plasmid,Reference proteome,Transcription,Transcription regulation,
8919162	IclR family transcriptional regulator(HVO_RS01350)	Haloferax volcanii DS2					IPR011991:Winged helix-turn-helix DNA-binding domain,IPR013561:Domain of unknown function DUF1724		HVO_RS01350	PF08350:Domain of unknown function (DUF1724)			Complete proteome,Plasmid,Reference proteome,
8923418	IclR family transcriptional regulator(HVO_RS04460)	Haloferax volcanii DS2		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated		GO:0003677~DNA binding	IPR005471:Transcription regulator IclR, N-terminal,IPR011991:Winged helix-turn-helix DNA-binding domain,IPR014757:Transcription regulator IclR, C-terminal		HVO_RS04460	PF01614:Bacterial transcriptional regulator,PF09339:IclR helix-turn-helix domain		SM00346:HTH_ICLR	Complete proteome,DNA-binding,Plasmid,Reference proteome,Transcription,Transcription regulation,
8924145	IclR family transcriptional regulator(HVO_RS07610)	Haloferax volcanii DS2		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated		GO:0003677~DNA binding	IPR005471:Transcription regulator IclR, N-terminal,IPR011991:Winged helix-turn-helix DNA-binding domain,IPR014757:Transcription regulator IclR, C-terminal		HVO_RS07610	PF01614:Bacterial transcriptional regulator,PF09339:IclR helix-turn-helix domain		SM00346:HTH_ICLR	Complete proteome,DNA-binding,Reference proteome,Transcription,Transcription regulation,
8926577	IclR family transcriptional regulator(HVO_RS09305)	Haloferax volcanii DS2					IPR011991:Winged helix-turn-helix DNA-binding domain		HVO_RS09305	PF12840:Helix-turn-helix domain			Complete proteome,Reference proteome,
8926583	IclR family transcriptional regulator(HVO_RS14830)	Haloferax volcanii DS2		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated		GO:0003677~DNA binding	IPR005471:Transcription regulator IclR, N-terminal,IPR011991:Winged helix-turn-helix DNA-binding domain,IPR014757:Transcription regulator IclR, C-terminal		HVO_RS14830	PF01614:Bacterial transcriptional regulator,PF09339:IclR helix-turn-helix domain		SM00346:HTH_ICLR	Complete proteome,DNA-binding,Reference proteome,Transcription,Transcription regulation,
8925795	KEOPS complex Pcc1 subunit(HVO_RS07835)	Haloferax volcanii DS2					IPR015419:EKC/KEOPS complex, subunit Pcc1		HVO_RS07835	PF09341:Transcription factor Pcc1			Complete proteome,Reference proteome,
8926575	KEOPS complex component(HVO_RS04765)	Haloferax volcanii DS2					IPR013926:CGI121/TPRKB,IPR016799:Uncharacterised conserved protein UCP022062		HVO_RS04765	PF08617:Kinase binding protein CGI-121	PIRSF022062:uncharacterized conserved protein		Complete proteome,Reference proteome,
8924362	KaiC domain-containing protein(HVO_RS16080)	Haloferax volcanii DS2				GO:0005524~ATP binding	IPR010624:KaiC domain,IPR014774:Circadian clock protein KaiC/DNA repair protein RadA,IPR022420:Circadian clock protein, KaiC, archaea,IPR027417:P-loop containing nucleoside triphosphate hydrolase		HVO_RS16080	PF06745:KaiC			Complete proteome,
8923374	L-asparaginase(HVO_RS03205)	Haloferax volcanii DS2	3.5.1.1	GO:0006520~cellular amino acid metabolic process		GO:0004067~asparaginase activity	IPR006034:Asparaginase/glutaminase,IPR020827:Asparaginase/glutaminase, active site 1,IPR027473:L-asparaginase, C-terminal domain,IPR027474:L-asparaginase, N-terminal,IPR027475:Asparaginase/glutaminase, active site 2	hvo00250:Alanine, aspartate and glutamate metabolism,hvo00460:Cyanoamino acid metabolism,hvo01100:Metabolic pathways,hvo01110:Biosynthesis of secondary metabolites	HVO_RS03205	PF00710:Asparaginase	PIRSF001220:L-asparaginase/Glutamyl-tRNA(Gln) amidotransferase subunit D	SM00870:SM00870	Complete proteome,Hydrolase,Plasmid,Reference proteome,
8925777	L-cysteine desulfhydrase(HVO_RS04745)	Haloferax volcanii DS2	4.1.99.1	GO:0006520~cellular amino acid metabolic process		GO:0009034~tryptophanase activity	IPR001597:Aromatic amino acid beta-eliminating lyase/threonine aldolase,IPR011166:Beta-eliminating lyase family,IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1,IPR015424:Pyridoxal phosphate-dependent transferase	hvo00380:Tryptophan metabolism	HVO_RS04745	PF01212:Beta-eliminating lyase	PIRSF001386:tryptophanase		Complete proteome,Lyase,Reference proteome,
8925662	L-lactate dehydrogenase(HVO_RS05745)	Haloferax volcanii DS2	1.1.1.27	GO:0005975~carbohydrate metabolic process,GO:0019752~carboxylic acid metabolic process	GO:0005737~cytoplasm	GO:0004459~L-lactate dehydrogenase activity	IPR001236:Lactate/malate dehydrogenase, N-terminal,IPR001557:L-lactate/malate dehydrogenase,IPR011304:L-lactate dehydrogenase,IPR015955:Lactate dehydrogenase/glycoside hydrolase, family 4, C-terminal,IPR016040:NAD(P)-binding domain,IPR018177:L-lactate dehydrogenase, active site,IPR022383:Lactate/malate dehydrogenase, C-terminal	hvo00010:Glycolysis / Gluconeogenesis,hvo00270:Cysteine and methionine metabolism,hvo00620:Pyruvate metabolism,hvo00640:Propanoate metabolism,hvo01100:Metabolic pathways,hvo01110:Biosynthesis of secondary metabolites,hvo01120:Microbial metabolism in diverse environments,hvo01130:Biosynthesis of antibiotics	HVO_RS05745	PF00056:lactate/malate dehydrogenase, NAD binding domain,PF02866:lactate/malate dehydrogenase, alpha/beta C-terminal domain	PIRSF000102:L-lactate/malate dehydrogenase		Complete proteome,Oxidoreductase,Reference proteome,
8924118	L-lactate permease(HVO_RS12855)	Haloferax volcanii DS2			GO:0005887~integral component of plasma membrane	GO:0015129~lactate transmembrane transporter activity	IPR003804:L-lactate permease		HVO_RS12855	PF02652:L-lactate permease			Complete proteome,Membrane,Reference proteome,Transmembrane,Transmembrane helix,
8925931	L-threonine-O-3-phosphate decarboxylase(HVO_RS07555)	Haloferax volcanii DS2	4.1.1.81	GO:0009058~biosynthetic process		GO:0030170~pyridoxal phosphate binding,GO:0048472~threonine-phosphate decarboxylase activity	IPR004839:Aminotransferase, class I/classII,IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1,IPR015422:Pyridoxal phosphate-dependent transferase, major region, subdomain 2,IPR015424:Pyridoxal phosphate-dependent transferase		HVO_RS07555	PF00155:Aminotransferase class I and II			Complete proteome,Lyase,Reference proteome,
8926048	LD-carboxypeptidase(HVO_RS16060)	Haloferax volcanii DS2				GO:0004180~carboxypeptidase activity	IPR003507:Muramoyl-tetrapeptide carboxypeptidase,IPR027461:LD-carboxypeptidase A, C-terminal domain,IPR027478:Murein tetrapeptide carboxypeptidase, N-terminal domain		HVO_RS16060	PF02016:LD-carboxypeptidase			Carboxypeptidase,Complete proteome,Hydrolase,Protease,Reference proteome,
8919034	LLM class F420-dependent oxidoreductase(HVO_RS00545)	Haloferax volcanii DS2				GO:0004497~monooxygenase activity,GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	IPR011251:Luciferase-like domain,IPR019952:F420-dependent oxidoreductase-predicted, Rv1855c		HVO_RS00545	PF00296:Luciferase-like monooxygenase			Complete proteome,Monooxygenase,Oxidoreductase,Plasmid,Reference proteome,
8926780	LacI family transcriptional regulator(HVO_RS14665)	Haloferax volcanii DS2					IPR002831:Transcription regulator TrmB, N-terminal,IPR011991:Winged helix-turn-helix DNA-binding domain		HVO_RS14665	PF01978:Sugar-specific transcriptional regulator TrmB			Complete proteome,Reference proteome,
8919198	LccA multicopper oxidase (MCO)(HVO_RS01010)	Haloferax volcanii DS2				GO:0005507~copper ion binding,GO:0016491~oxidoreductase activity	IPR008972:Cupredoxin,IPR011706:Multicopper oxidase, type 2,IPR011707:Multicopper oxidase, type 3		HVO_RS01010	PF07731:Multicopper oxidase,PF07732:Multicopper oxidase			Complete proteome,
8923642	MATE family efflux transporter(HVO_RS02590)	Haloferax volcanii DS2			GO:0016021~integral component of membrane	GO:0015238~drug transmembrane transporter activity,GO:0015297~antiporter activity	IPR002528:Multi antimicrobial extrusion protein		HVO_RS02590	PF01554:MatE	PIRSF006603:probable multidrug resistance protein		Complete proteome,Membrane,Plasmid,Reference proteome,Transmembrane,Transmembrane helix,
8926495	MATE family efflux transporter(HVO_RS06945)	Haloferax volcanii DS2			GO:0016021~integral component of membrane	GO:0015238~drug transmembrane transporter activity,GO:0015297~antiporter activity	IPR002528:Multi antimicrobial extrusion protein		HVO_RS06945	PF01554:MatE	PIRSF006603:probable multidrug resistance protein		Complete proteome,Membrane,Reference proteome,Transmembrane,Transmembrane helix,
8926208	MATE family efflux transporter(HVO_RS09075)	Haloferax volcanii DS2			GO:0016021~integral component of membrane	GO:0015238~drug transmembrane transporter activity,GO:0015297~antiporter activity	IPR002528:Multi antimicrobial extrusion protein		HVO_RS09075	PF01554:MatE	PIRSF006603:probable multidrug resistance protein		Complete proteome,Membrane,Reference proteome,Transmembrane,Transmembrane helix,
8924980	MATE family efflux transporter(HVO_RS13500)	Haloferax volcanii DS2			GO:0016021~integral component of membrane	GO:0015238~drug transmembrane transporter activity,GO:0015297~antiporter activity	IPR002528:Multi antimicrobial extrusion protein		HVO_RS13500	PF01554:MatE	PIRSF006603:probable multidrug resistance protein		Complete proteome,Membrane,Transmembrane,Transmembrane helix,
8925551	MATE family efflux transporter(HVO_RS15975)	Haloferax volcanii DS2			GO:0016021~integral component of membrane	GO:0015238~drug transmembrane transporter activity,GO:0015297~antiporter activity	IPR002528:Multi antimicrobial extrusion protein		HVO_RS15975	PF01554:MatE	PIRSF006603:probable multidrug resistance protein		Complete proteome,Membrane,Reference proteome,Transmembrane,Transmembrane helix,
8926556	MBL fold hydrolase(HVO_RS06820)	Haloferax volcanii DS2				GO:0016787~hydrolase activity	IPR001279:Beta-lactamase-like		HVO_RS06820	PF00753:Metallo-beta-lactamase superfamily		SM00849:SM00849	Complete proteome,Hydrolase,Reference proteome,
8926604	MBL fold hydrolase(HVO_RS08395)	Haloferax volcanii DS2				GO:0016787~hydrolase activity	IPR001279:Beta-lactamase-like		HVO_RS08395	PF00753:Metallo-beta-lactamase superfamily		SM00849:SM00849	Complete proteome,Hydrolase,Reference proteome,
8926654	MBL fold hydrolase(HVO_RS09690)	Haloferax volcanii DS2					IPR001279:Beta-lactamase-like		HVO_RS09690	PF00753:Metallo-beta-lactamase superfamily		SM00849:SM00849	Complete proteome,Reference proteome,
8925539	MBL fold hydrolase(HVO_RS09700)	Haloferax volcanii DS2				GO:0016787~hydrolase activity	IPR001279:Beta-lactamase-like		HVO_RS09700	PF00753:Metallo-beta-lactamase superfamily		SM00849:SM00849	Complete proteome,Hydrolase,Reference proteome,
8924514	MBL fold hydrolase(HVO_RS11860)	Haloferax volcanii DS2					IPR001279:Beta-lactamase-like,IPR001763:Rhodanese-like domain		HVO_RS11860	PF00581:Rhodanese-like domain,PF00753:Metallo-beta-lactamase superfamily		SM00450:RHOD	Complete proteome,Reference proteome,
8925941	MBL fold hydrolase(HVO_RS13890)	Haloferax volcanii DS2				GO:0016787~hydrolase activity	IPR001279:Beta-lactamase-like		HVO_RS13890	PF00753:Metallo-beta-lactamase superfamily		SM00849:SM00849	Complete proteome,Hydrolase,Reference proteome,
8926618	MBL fold metallo-hydrolase(HVO_RS07630)	Haloferax volcanii DS2				GO:0016787~hydrolase activity	IPR001279:Beta-lactamase-like		HVO_RS07630	PF00753:Metallo-beta-lactamase superfamily		SM00849:SM00849	Complete proteome,Hydrolase,Reference proteome,
8925076	MBL fold metallo-hydrolase(HVO_RS07650)	Haloferax volcanii DS2				GO:0016787~hydrolase activity	IPR001279:Beta-lactamase-like		HVO_RS07650	PF00753:Metallo-beta-lactamase superfamily		SM00849:SM00849	Complete proteome,Hydrolase,Reference proteome,
8925656	MBL fold metallo-hydrolase(HVO_RS11275)	Haloferax volcanii DS2				GO:0016787~hydrolase activity	IPR001279:Beta-lactamase-like,IPR001763:Rhodanese-like domain		HVO_RS11275	PF00581:Rhodanese-like domain,PF00753:Metallo-beta-lactamase superfamily		SM00450:RHOD,SM00849:SM00849	Complete proteome,Hydrolase,Reference proteome,
8925196	MBL fold metallo-hydrolase(HVO_RS11290)	Haloferax volcanii DS2				GO:0016787~hydrolase activity	IPR001279:Beta-lactamase-like		HVO_RS11290	PF00753:Metallo-beta-lactamase superfamily		SM00849:SM00849	Complete proteome,Hydrolase,Reference proteome,
8924283	MBL fold metallo-hydrolase(HVO_RS12510)	Haloferax volcanii DS2				GO:0016787~hydrolase activity	IPR001279:Beta-lactamase-like	hvo00053:Ascorbate and aldarate metabolism,hvo01100:Metabolic pathways,hvo01120:Microbial metabolism in diverse environments	HVO_RS12510	PF12706:Beta-lactamase superfamily domain		SM00849:SM00849	Complete proteome,Hydrolase,Reference proteome,
8924295	MBL fold metallo-hydrolase(HVO_RS13330)	Haloferax volcanii DS2					IPR001279:Beta-lactamase-like,IPR011108:RNA-metabolising metallo-beta-lactamase,IPR022712:Beta-Casp domain		HVO_RS13330	PF07521:RNA-metabolising metallo-beta-lactamase,PF10996:Beta-Casp domain,PF12706:Beta-lactamase superfamily domain		SM00849:SM00849,SM01027:SM01027	Complete proteome,Reference proteome,
8926447	MCM DNA helicase(HVO_RS05775)	Haloferax volcanii DS2	3.6.4.12	GO:0006260~DNA replication		GO:0003677~DNA binding,GO:0004386~helicase activity,GO:0005524~ATP binding	IPR001208:Mini-chromosome maintenance, DNA-dependent ATPase,IPR003593:AAA+ ATPase domain,IPR004039:Rubredoxin-type fold,IPR012340:Nucleic acid-binding, OB-fold,IPR018525:Mini-chromosome maintenance, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase	hvo03030:DNA replication	HVO_RS05775	PF00493:MCM2/3/5 family,PF14551:MCM N-terminal domain		SM00350:MCM,SM00382:AAA	ATP-binding,Complete proteome,DNA-binding,Helicase,Hydrolase,Nucleotide-binding,Reference proteome,
8919203	MFS transporter permease(HVO_RS01230)	Haloferax volcanii DS2		GO:0055085~transmembrane transport	GO:0016021~integral component of membrane	GO:0005215~transporter activity	IPR005829:Sugar transporter, conserved site,IPR011701:Major facilitator superfamily,IPR020846:Major facilitator superfamily domain		HVO_RS01230	PF07690:Major Facilitator Superfamily			Complete proteome,Membrane,Transmembrane,Transmembrane helix,
8919115	MFS transporter(HVO_RS01610)	Haloferax volcanii DS2		GO:0055085~transmembrane transport	GO:0016021~integral component of membrane		IPR011701:Major facilitator superfamily,IPR020846:Major facilitator superfamily domain		HVO_RS01610	PF07690:Major Facilitator Superfamily			Complete proteome,Membrane,Transmembrane,Transmembrane helix,
8923703	MFS transporter(HVO_RS04320)	Haloferax volcanii DS2		GO:0055085~transmembrane transport	GO:0016021~integral component of membrane	GO:0005215~transporter activity	IPR001958:Tetracycline resistance protein, TetA/multidrug resistance protein MdtG,IPR011701:Major facilitator superfamily,IPR020846:Major facilitator superfamily domain		HVO_RS04320	PF07690:Major Facilitator Superfamily			Complete proteome,Membrane,Plasmid,Reference proteome,Transmembrane,Transmembrane helix,
8923749	MFS transporter(HVO_RS04375)	Haloferax volcanii DS2		GO:0055085~transmembrane transport	GO:0016021~integral component of membrane		IPR011701:Major facilitator superfamily,IPR020846:Major facilitator superfamily domain		HVO_RS04375	PF07690:Major Facilitator Superfamily			Complete proteome,Membrane,Transmembrane,Transmembrane helix,
8923808	MFS transporter(HVO_RS04565)	Haloferax volcanii DS2		GO:0055085~transmembrane transport	GO:0016021~integral component of membrane		IPR011701:Major facilitator superfamily,IPR020846:Major facilitator superfamily domain		HVO_RS04565	PF07690:Major Facilitator Superfamily			Complete proteome,Membrane,Plasmid,Reference proteome,Transmembrane,Transmembrane helix,
8925440	MFS transporter(HVO_RS05060)	Haloferax volcanii DS2		GO:0055085~transmembrane transport	GO:0016021~integral component of membrane		IPR011701:Major facilitator superfamily,IPR020846:Major facilitator superfamily domain		HVO_RS05060	PF07690:Major Facilitator Superfamily			Complete proteome,Membrane,Reference proteome,Transmembrane,Transmembrane helix,
8924107	MFS transporter(HVO_RS06785)	Haloferax volcanii DS2		GO:0055085~transmembrane transport	GO:0016021~integral component of membrane	GO:0005215~transporter activity	IPR001958:Tetracycline resistance protein, TetA/multidrug resistance protein MdtG,IPR011701:Major facilitator superfamily,IPR020846:Major facilitator superfamily domain		HVO_RS06785	PF07690:Major Facilitator Superfamily			Complete proteome,Membrane,Reference proteome,Transmembrane,Transmembrane helix,
8925515	MFS transporter(HVO_RS07320)	Haloferax volcanii DS2			GO:0016021~integral component of membrane	GO:0022891~substrate-specific transmembrane transporter activity	IPR003663:Sugar/inositol transporter,IPR005828:General substrate transporter,IPR005829:Sugar transporter, conserved site,IPR020846:Major facilitator superfamily domain		HVO_RS07320	PF00083:Sugar (and other) transporter			Complete proteome,Membrane,Reference proteome,Transmembrane,Transmembrane helix,
8924400	MFS transporter(HVO_RS08340)	Haloferax volcanii DS2		GO:0008643~carbohydrate transport,GO:0055085~transmembrane transport	GO:0016021~integral component of membrane		IPR011701:Major facilitator superfamily,IPR020846:Major facilitator superfamily domain		HVO_RS08340	PF07690:Major Facilitator Superfamily			Complete proteome,Membrane,Reference proteome,Sugar transport,Transmembrane,Transmembrane helix,Transport,
8925428	MFS transporter(HVO_RS10660)	Haloferax volcanii DS2		GO:0055085~transmembrane transport	GO:0016021~integral component of membrane		IPR011701:Major facilitator superfamily,IPR020846:Major facilitator superfamily domain		HVO_RS10660	PF07690:Major Facilitator Superfamily			Complete proteome,Membrane,Reference proteome,Transmembrane,Transmembrane helix,
8926657	MFS transporter(HVO_RS10735)	Haloferax volcanii DS2		GO:0055085~transmembrane transport	GO:0016021~integral component of membrane		IPR011701:Major facilitator superfamily,IPR020846:Major facilitator superfamily domain		HVO_RS10735	PF07690:Major Facilitator Superfamily			Complete proteome,Membrane,Reference proteome,Transmembrane,Transmembrane helix,
8926292	MFS transporter(HVO_RS10855)	Haloferax volcanii DS2		GO:0055085~transmembrane transport	GO:0016021~integral component of membrane	GO:0005215~transporter activity	IPR005829:Sugar transporter, conserved site,IPR011701:Major facilitator superfamily,IPR020846:Major facilitator superfamily domain		HVO_RS10855	PF07690:Major Facilitator Superfamily			Complete proteome,Membrane,Reference proteome,Transmembrane,Transmembrane helix,
8925336	MFS transporter(HVO_RS11200)	Haloferax volcanii DS2		GO:0055085~transmembrane transport	GO:0016021~integral component of membrane		IPR011701:Major facilitator superfamily,IPR020846:Major facilitator superfamily domain		HVO_RS11200	PF07690:Major Facilitator Superfamily			Complete proteome,Membrane,Reference proteome,Transmembrane,Transmembrane helix,
8923906	MFS transporter(HVO_RS12050)	Haloferax volcanii DS2		GO:0006486~protein glycosylation	GO:0016021~integral component of membrane	GO:0004576~oligosaccharyl transferase activity	IPR003674:Oligosaccharyl transferase, STT3 subunit,IPR020846:Major facilitator superfamily domain,IPR026410:Oligosaccharyl transferase, Archaea	hvo01100:Metabolic pathways	HVO_RS12050	PF02516:Oligosaccharyl transferase STT3 subunit			Complete proteome,Membrane,Transferase,Transmembrane,Transmembrane helix,
8924992	MFS transporter(HVO_RS12805)	Haloferax volcanii DS2		GO:0055085~transmembrane transport	GO:0016021~integral component of membrane		IPR011701:Major facilitator superfamily,IPR020846:Major facilitator superfamily domain		HVO_RS12805	PF07690:Major Facilitator Superfamily			Complete proteome,Membrane,Reference proteome,Transmembrane,Transmembrane helix,
8925079	MFS transporter(HVO_RS12920)	Haloferax volcanii DS2		GO:0055085~transmembrane transport	GO:0016021~integral component of membrane		IPR011701:Major facilitator superfamily,IPR020846:Major facilitator superfamily domain	hvo00910:Nitrogen metabolism	HVO_RS12920	PF07690:Major Facilitator Superfamily			Complete proteome,Membrane,Reference proteome,Transmembrane,Transmembrane helix,
8924533	MFS transporter(HVO_RS14785)	Haloferax volcanii DS2		GO:0008643~carbohydrate transport,GO:0055085~transmembrane transport	GO:0016021~integral component of membrane		IPR011701:Major facilitator superfamily,IPR020846:Major facilitator superfamily domain		HVO_RS14785	PF07690:Major Facilitator Superfamily			Complete proteome,Membrane,Reference proteome,Sugar transport,Transmembrane,Transmembrane helix,Transport,
8926492	MFS transporter(HVO_RS17150)	Haloferax volcanii DS2		GO:0055085~transmembrane transport	GO:0016021~integral component of membrane		IPR011701:Major facilitator superfamily,IPR020846:Major facilitator superfamily domain		HVO_RS17150	PF07690:Major Facilitator Superfamily			Complete proteome,Membrane,Reference proteome,Transmembrane,Transmembrane helix,
8925548	MFS transporter(HVO_RS18610)	Haloferax volcanii DS2		GO:0008643~carbohydrate transport,GO:0055085~transmembrane transport	GO:0016021~integral component of membrane		IPR011701:Major facilitator superfamily,IPR020846:Major facilitator superfamily domain		HVO_RS18610	PF07690:Major Facilitator Superfamily			Complete proteome,Membrane,Sugar transport,Transmembrane,Transmembrane helix,Transport,
8919105	MarR family transcriptional regulator(HVO_RS01365)	Haloferax volcanii DS2			GO:0016021~integral component of membrane	GO:0005509~calcium ion binding	IPR011991:Winged helix-turn-helix DNA-binding domain		HVO_RS01365				Complete proteome,Membrane,Plasmid,Reference proteome,Transmembrane,Transmembrane helix,
8923862	MarR family transcriptional regulator(HVO_RS02465)	Haloferax volcanii DS2					IPR011991:Winged helix-turn-helix DNA-binding domain		HVO_RS02465				Complete proteome,Plasmid,Reference proteome,
8923659	MarR family transcriptional regulator(HVO_RS02965)	Haloferax volcanii DS2		GO:0006355~regulation of transcription, DNA-templated		GO:0003677~DNA binding	IPR005471:Transcription regulator IclR, N-terminal,IPR011991:Winged helix-turn-helix DNA-binding domain		HVO_RS02965	PF09339:IclR helix-turn-helix domain			Complete proteome,Plasmid,Reference proteome,
8924482	MarR family transcriptional regulator(HVO_RS06725)	Haloferax volcanii DS2					IPR011991:Winged helix-turn-helix DNA-binding domain		HVO_RS06725				Complete proteome,Reference proteome,
8926558	Mov34-MPN-PAD-1 superfamily protein(HVO_RS09575)	Haloferax volcanii DS2				GO:0008237~metallopeptidase activity,GO:0046872~metal ion binding			HVO_RS09575	PF14464:Prokaryotic homologs of the JAB domain			Complete proteome,Hydrolase,Metal-binding,Metalloprotease,Protease,Reference proteome,Zinc,
8919028	Mur ligase family CapB protein(HVO_RS00745)	Haloferax volcanii DS2		GO:0009058~biosynthetic process		GO:0005524~ATP binding,GO:0016874~ligase activity	IPR013221:Mur ligase, central		HVO_RS00745	PF08245:Mur ligase middle domain			Complete proteome,Ligase,
8924041	N-(5'-phosphoribosyl)anthranilate isomerase(HVO_RS16540)	Haloferax volcanii DS2	5.3.1.24	GO:0000162~tryptophan biosynthetic process,GO:0008652~cellular amino acid biosynthetic process		GO:0004640~phosphoribosylanthranilate isomerase activity	IPR001240:N-(5'phosphoribosyl) anthranilate isomerase (PRAI) like domain,IPR011060:Ribulose-phosphate binding barrel,IPR013785:Aldolase-type TIM barrel	hvo00400:Phenylalanine, tyrosine and tryptophan biosynthesis,hvo01100:Metabolic pathways,hvo01110:Biosynthesis of secondary metabolites,hvo01230:Biosynthesis of amino acids	HVO_RS16540	PF00697:N-(5'phosphoribosyl)anthranilate (PRA) isomerase			Amino-acid biosynthesis,Aromatic amino acid biosynthesis,Complete proteome,Isomerase,Reference proteome,Tryptophan biosynthesis,
8925356	N-6 adenine-specific DNA methylase(HVO_RS15635)	Haloferax volcanii DS2		GO:0006306~DNA methylation		GO:0003677~DNA binding,GO:0008170~N-methyltransferase activity	IPR003356:DNA methylase, adenine-specific		HVO_RS15635	PF02384:N-6 DNA Methylase			Complete proteome,Methyltransferase,Reference proteome,Transferase,
8925746	N-acetyl-gamma-glutamyl-phosphate reductase(HVO_RS04920)	Haloferax volcanii DS2	1.2.1.38	GO:0006526~arginine biosynthetic process	GO:0005737~cytoplasm	GO:0003942~N-acetyl-gamma-glutamyl-phosphate reductase activity,GO:0051287~NAD binding	IPR000534:Semialdehyde dehydrogenase, NAD-binding,IPR000706:N-acetyl-gamma-glutamyl-phosphate reductase, type 1,IPR012280:Semialdehyde dehydrogenase, dimerisation domain,IPR016040:NAD(P)-binding domain	hvo00220:Arginine biosynthesis,hvo00300:Lysine biosynthesis,hvo01100:Metabolic pathways,hvo01110:Biosynthesis of secondary metabolites,hvo01210:2-Oxocarboxylic acid metabolism,hvo01230:Biosynthesis of amino acids	HVO_RS04920	PF01118:Semialdehyde dehydrogenase, NAD binding domain,PF02774:Semialdehyde dehydrogenase, dimerisation domain		SM00859:SM00859	Amino-acid biosynthesis,Arginine biosynthesis,Complete proteome,Cytoplasm,NADP,Oxidoreductase,Reference proteome,
8926286	N-acetylgalactosamine-6-sulfatase(HVO_RS14545)	Haloferax volcanii DS2	3.1.6.-	GO:0006486~protein glycosylation,GO:0045232~S-layer organization		GO:0008484~sulfuric ester hydrolase activity,GO:0046872~metal ion binding	IPR000917:Sulfatase,IPR017849:Alkaline phosphatase-like, alpha/beta/alpha,IPR017850:Alkaline-phosphatase-like, core domain		HVO_RS14545	PF00884:Sulfatase			Calcium,Complete proteome,Hydrolase,Metal-binding,Reference proteome,
8925187	N-acetylglucosamine-1-phosphate uridyltransferase(HVO_RS10365)	Haloferax volcanii DS2		GO:0006741~NADP biosynthetic process		GO:0003951~NAD+ kinase activity	IPR002504:Inorganic polyphosphate/ATP-NAD kinase, predicted,IPR011386:ATP-NAD kinase,IPR016064:ATP-NAD kinase-like domain,IPR017438:Inorganic polyphosphate/ATP-NAD kinase, domain 1		HVO_RS10365	PF01513:ATP-NAD kinase	PIRSF016907:kinase related to ATP-NAD kinase		Complete proteome,Kinase,Reference proteome,Transferase,
8919377	N-acetyltransferase(HVO_RS00205)	Haloferax volcanii DS2				GO:0008080~N-acetyltransferase activity	IPR000182:GNAT domain,IPR016181:Acyl-CoA N-acyltransferase,IPR019432:Siderophore biosynthesis protein, conserved domain		HVO_RS00205			SM01006:SM01006	Complete proteome,Plasmid,Reference proteome,
